mpn,quantity,references,assembly,unit_usd,line_usd,economical_purchase_quantity,purchase_unit_usd,purchase_line_usd,spares,url,checked
3557,24,"F1, F2, F3, F4, F5, F6, F7, F8",THT,0.201,4.82,25,0.1796,4.49,1,https://www.digikey.com/en/products/detail/keystone-electronics/3557/2092485,2026-09-19
BTS70041EPPXUMA1,2,"U1, U2",SMD,2.41,4.82,2,2.41,4.82,0,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70041EPPXUMA1/7791523,2026-09-19
RC0603FR-074K7L,24,"R101, R102, R105, R201, R202, R205, R301, R302, R305, R401, R402, R405, R501, R502, R505, R601, R602, R605, R701, R702, R705, R801, R802, R805",SMD,0.025,0.6,25,0.0188,0.47,1,https://www.digikey.com/en/products/detail/yageo/RC0603FR-074K7L/727212,2026-09-19
RC0805FR-0747RL,8,"R103, R203, R303, R403, R503, R603, R703, R803",SMD,0.1,0.8,10,0.034,0.34,2,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/730919,2026-09-19
RC0603FR-072K2L,2,"R104, R204",SMD,0.1,0.2,2,0.1,0.2,0,https://www.digikey.com/en/products/detail/yageo/RC0603FR-072K2L/727016,2026-09-19
CL10C221JB8NFNC,8,"C103, C203, C303, C403, C503, C603, C703, C803",SMD,0.1,0.8,10,0.042,0.42,2,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C221JB8NFNC/3890321,2026-09-19
BAT54S-QR,26,"D101, D201, D301, D401, D501, D601, D701, D801, D8, D9, D112, D103, D212, D203, D312, D303, D412, D403, D512, D503, D612, D603, D712, D703, D812, D803",SMD,0.098,2.55,26,0.098,2.55,0,https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAT54S-QR/15196086,2026-09-19
CL21B104KBCNNNC,21,"C101, C201, C301, C401, C501, C601, C701, C801, C15, C16, C19, C20, C21, C113, C213, C313, C413, C513, C613, C713, C813",SMD,0.045,0.95,21,0.045,0.95,0,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661,2026-09-19
RC0603FR-0747KL,28,"R106, R206, R306, R406, R506, R606, R706, R806, R108, R208, R308, R408, R508, R608, R708, R808, R22, R23, R25, R28, R114, R214, R314, R414, R514, R614, R714, R814",SMD,0.0188,0.53,28,0.0188,0.53,0,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0747KL/727253,2026-09-19
CL21B103KBANNNC,10,"C102, C202, C302, C402, C502, C602, C702, C802, C23, C24",SMD,0.044,0.44,10,0.044,0.44,0,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673,2026-09-19
RC0603FR-0710KL,20,"R107, R207, R307, R407, R507, R607, R707, R807, R5, R6, R21, R24, R115, R215, R315, R415, R515, R615, R715, R815",SMD,0.025,0.5,25,0.0188,0.47,5,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880,2026-09-19
150060GS75000,8,"D102, D202, D302, D402, D502, D602, D702, D802",SMD,0.15,1.2,8,0.15,1.2,0,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060GS75000/4489896,2026-09-19
BTS70081EPRXUMA1,5,"U3, U4, U5, U6, U7",SMD,1.85,9.25,5,1.85,9.25,0,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70081EPRXUMA1/25880108,2026-09-19
RC0603FR-073K3L,5,"R304, R404, R504, R604, R704",SMD,0.1,0.5,10,0.025,0.25,5,https://www.digikey.com/en/products/detail/yageo/RC0603FR-073K3L/727126,2026-09-19
BTS70021EPPXUMA1,1,U8,SMD,2.9,2.9,1,2.9,2.9,0,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70021EPPXUMA1/9829548,2026-09-19
