mpn,boards,quantity,unit_usd,line_usd
3557,3,72,0.1796,12.93
BTS70041EPPXUMA1,3,6,2.41,14.46
RC0603FR-074K7L,3,72,0.015,1.08
RC0805FR-0747RL,3,24,0.034,0.82
RC0603FR-072K2L,3,6,0.1,0.6
CL10C221JB8NFNC,3,24,0.042,1.01
BAT54S-QR,3,78,0.0694,5.41
CL21B104KBCNNNC,3,63,0.0308,1.94
RC0603FR-0747KL,3,84,0.015,1.26
CL21B103KBANNNC,3,30,0.044,1.32
RC0603FR-0710KL,3,60,0.015,0.9
150060GS75000,3,24,0.15,3.6
BTS70081EPRXUMA1,3,15,1.363,20.45
RC0603FR-073K3L,3,15,0.025,0.38
BTS70021EPPXUMA1,3,3,2.9,8.7
RC0603FR-071K2L,3,3,0.1,0.3
ESP32-S3-WROOM-1-N8,3,3,5.66,16.98
CC0805KKX5R6BB106,3,3,0.57,1.71
CC0603JRX7R9BB104,3,6,0.12,0.72
CC0603KRX7R7BB105,3,6,0.24,1.44
PTS645SM43SMTR92 LFS,3,30,0.2924,8.77
RC0603FR-071KL,3,3,0.1,0.3
150060BS75000,3,3,0.16,0.48
USB4105-GF-A,3,3,0.8,2.4
SRV05-4HTG-D,3,3,1.51,4.53
ERJ-3EKF5101V,3,6,0.1,0.6
61300411121,3,3,0.18,0.54
0466002.NR,3,3,1.25,3.75
B360A-13-F,3,3,0.54,1.62
SMCJ24CA,3,3,0.97,2.91
GRM32ER71H475KA88L,3,12,1.15,13.8
TPSM63603V3RDHR,3,3,8.99,26.97
RC0603FR-0716K5L,3,3,0.1,0.3
GCM32ER70J476KE19L,3,12,0.686,8.23
691218410002,3,24,1.369,32.86
74650195,3,6,4.65,27.9
ERJ-3EKF22R0V,3,6,0.1,0.6
BSC016N06NSATMA1,3,9,3.01,27.09
LM74800QDRRRQ1,3,6,3,18.0
PSMN1R8-80SSEJ,3,30,4.598,137.94
TPS2492PWR,3,27,3.104,83.81
CSS4J-4026R-L500F,3,3,2.32,6.96
RT0603BRD07115KL,3,6,0.1,0.6
RT0603BRD0710KL,3,9,0.1,0.9
RT0603BRD0756K2L,3,3,0.1,0.3
RC0603FR-0710RL,3,54,0.024,1.3
RT0603BRD078K25L,3,3,0.1,0.3
RT0603BRD071KL,3,27,0.072,1.94
C0805C123J5GACTU,3,9,0.91,8.19
SMCJ16A,3,3,0.99,2.97
STPS41L60CG-TR,3,27,2.218,59.89
CL21B473KBCNNNC,3,24,0.041,0.98
MMBT3906LT1G,3,3,0.15,0.45
35SVPF120M,3,72,1.4622,105.28
WSLP25124L000FEA,3,6,1.97,11.82
RC0603FR-07100RL,3,24,0.025,0.6
RT0603BRD074K7L,3,6,0.11,0.66
FMMT720TA,3,24,0.508,12.19
C1206C104J5JACAUTO,3,48,0.7,33.6
WSLP25128L000FEA,3,15,1.354,20.31
RG1608P-222-B-T5,3,15,0.082,1.23
WSLP25122L000FEA,3,3,2.09,6.27
RT0603BRD077K5L,3,3,0.1,0.3
0287005.PXCN,3,15,0.333,5.0
0287010.PXCN,3,6,0.36,2.16
0287020.PXCN,3,3,0.44,1.32
R30-1001002,3,36,0.4272,15.38
