Quantity,Manufacturer Part Number,Customer Reference
25,3557,"F1, F2, F3, F4, F5, F6, F7, F8"
2,BTS70041EPPXUMA1,"U1, U2"
25,RC0603FR-074K7L,"R101, R102, R105, R201, R202, R205, R301, R302, R305, R401, R402, R405, R501, R502, R505, R601, R602, R605, R701, R702, R705, R801, R802, R805"
10,RC0805FR-0747RL,"R103, R203, R303, R403, R503, R603, R703, R803"
2,RC0603FR-072K2L,"R104, R204"
10,CL10C221JB8NFNC,"C103, C203, C303, C403, C503, C603, C703, C803"
26,BAT54S-QR,"D101, D201, D301, D401, D501, D601, D701, D801, D8, D9, D112, D103, D212, D203, D312, D303, D412, D403, D512, D503, D612, D603, D712, D703, D812, D803"
21,CL21B104KBCNNNC,"C101, C201, C301, C401, C501, C601, C701, C801, C15, C16, C19, C20, C21, C113, C213, C313, C413, C513, C613, C713, C813"
28,RC0603FR-0747KL,"R106, R206, R306, R406, R506, R606, R706, R806, R108, R208, R308, R408, R508, R608, R708, R808, R22, R23, R25, R28, R114, R214, R314, R414, R514, R614, R714, R814"
10,CL21B103KBANNNC,"C102, C202, C302, C402, C502, C602, C702, C802, C23, C24"
25,RC0603FR-0710KL,"R107, R207, R307, R407, R507, R607, R707, R807, R5, R6, R21, R24, R115, R215, R315, R415, R515, R615, R715, R815"
8,150060GS75000,"D102, D202, D302, D402, D502, D602, D702, D802"
5,BTS70081EPRXUMA1,"U3, U4, U5, U6, U7"
10,RC0603FR-073K3L,"R304, R404, R504, R604, R704"
1,BTS70021EPPXUMA1,U8
1,RC0603FR-071K2L,R804
1,ESP32-S3-WROOM-1-N8,U10
1,CC0805KKX5R6BB106,C9
2,CC0603JRX7R9BB104,"C10, C3"
2,CC0603KRX7R7BB105,"C11, C14"
10,PTS645SM43SMTR92 LFS,"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10"
1,RC0603FR-071KL,R9
1,150060BS75000,D5
1,USB4105-GF-A,J4
1,SRV05-4HTG-D,U11
2,ERJ-3EKF5101V,"R7, R8"
1,61300411121,J5
1,0466002.NR,F9
1,B360A-13-F,D1
1,SMCJ24CA,D3
4,GRM32ER71H475KA88L,"C1, C2, C17, C22"
1,TPSM63603V3RDHR,U9
1,RC0603FR-0716K5L,R1
4,GCM32ER70J476KE19L,"C7, C8, C12, C13"
8,691218410002,"J1, J6, J7, J8, J9, J10, J11, J12"
2,74650195,"J2, J3"
2,ERJ-3EKF22R0V,"R10, R11"
3,BSC016N06NSATMA1,"Q1, Q2, Q5"
2,LM74800QDRRRQ1,"U12, U13"
10,PSMN1R8-80SSEJ,"Q3, Q4, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18"
10,TPS2492PWR,"U14, U21, U22, U23, U24, U25, U26, U27, U28"
1,CSS4J-4026R-L500F,R20
2,RT0603BRD07115KL,"R12, R26"
3,RT0603BRD0710KL,"R13, R15, R27"
1,RT0603BRD0756K2L,R14
18,RC0603FR-0710RL,"R16, R19, R116, R117, R216, R217, R316, R317, R416, R417, R516, R517, R616, R617, R716, R717, R816, R817"
1,RT0603BRD078K25L,R17
10,RT0603BRD071KL,"R18, R113, R213, R313, R413, R513, R613, R713, R813"
3,C0805C123J5GACTU,"C18, C25, C28"
1,SMCJ16A,D6
10,STPS41L60CG-TR,"D7, D111, D211, D311, D411, D511, D611, D711, D811"
10,CL21B473KBCNNNC,"C104, C204, C304, C404, C504, C604, C704, C804"
1,MMBT3906LT1G,Q6
24,35SVPF120M,"C114, C115, C116, C214, C215, C216, C314, C315, C316, C414, C415, C416, C514, C515, C516, C614, C615, C616, C714, C715, C716, C814, C815, C816"
2,WSLP25124L000FEA,"R120, R220"
10,RC0603FR-07100RL,"R111, R211, R311, R411, R511, R611, R711, R811"
2,RT0603BRD074K7L,"R112, R212"
10,FMMT720TA,"Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38"
16,C1206C104J5JACAUTO,"C111, C112, C211, C212, C311, C312, C411, C412, C511, C512, C611, C612, C711, C712, C811, C812"
5,WSLP25128L000FEA,"R320, R420, R520, R620, R720"
5,RG1608P-222-B-T5,"R312, R412, R512, R612, R712"
1,WSLP25122L000FEA,R820
1,RT0603BRD077K5L,R812
5,0287005.PXCN,F3-F7 inserts
2,0287010.PXCN,F1-F2 inserts
1,0287020.PXCN,F8 insert
12,R30-1001002,H1-H12 standoffs
