MPN,Per board,Boards,Required,DigiKey stock observed,Checked UTC date,Product URL,Assembly
3557,24,3,72,180115,2026-09-19,https://www.digikey.com/en/products/detail/keystone-electronics/3557/2092485,THT
BTS70041EPPXUMA1,2,3,6,23292,2026-09-19,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70041EPPXUMA1/7791523,SMD
RC0603FR-074K7L,24,3,72,4693197,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-074K7L/727212,SMD
RC0805FR-0747RL,8,3,24,135279,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/730919,SMD
RC0603FR-072K2L,2,3,6,458413,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-072K2L/727016,SMD
CL10C221JB8NFNC,8,3,24,984,2026-09-19,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C221JB8NFNC/3890321,SMD
BAT54S-QR,8,3,24,15255,2026-09-19,https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAT54S-QR/15196086,SMD
CL21B104KBCNNNC,13,3,39,4889635,2026-09-19,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661,SMD
RC0603FR-0747KL,16,3,48,1837173,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0747KL/727253,SMD
CL21B103KBANNNC,8,3,24,2202435,2026-09-19,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673,SMD
RC0603FR-0710KL,10,3,30,1413260,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880,SMD
150060GS75000,8,3,24,298703,2026-09-19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060GS75000/4489896,SMD
BTS70081EPRXUMA1,5,3,15,2980,2026-09-19,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70081EPRXUMA1/25880108,SMD
RC0603FR-073K3L,5,3,15,773218,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-073K3L/727126,SMD
BTS70021EPPXUMA1,1,3,3,27810,2026-09-19,https://www.digikey.com/en/products/detail/infineon-technologies/BTS70021EPPXUMA1/9829548,SMD
RC0603FR-071K2L,1,3,3,66321,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-071K2L/726852,SMD
ESP32-S3-WROOM-1-N8,1,3,3,1353,2026-09-19,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089,SMD
CC0805KKX5R6BB106,1,3,3,19160,2026-09-19,https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R6BB106/2833625,SMD
CC0603JRX7R9BB104,2,3,6,142694,2026-09-19,https://www.digikey.com/en/products/detail/yageo/CC0603JRX7R9BB104/5195681,SMD
CC0603KRX7R7BB105,2,3,6,4299908,2026-09-19,https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R7BB105/2833752,SMD
PTS645SM43SMTR92 LFS,2,3,6,172006,2026-09-19,https://www.digikey.com/en/products/detail/c-k/PTS645SM43SMTR92-LFS/1146840,SMD
RC0603FR-071KL,2,3,6,4571898,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-071KL/726843,SMD
150060BS75000,1,3,3,154625,2026-09-19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060BS75000/4489895,SMD
USB4105-GF-A,1,3,3,138077,2026-09-19,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198510,SMD
