Comment,Designator,Footprint,LCSC Part #
4.7uF 50V,"C1,C2",1210,
100nF 50V,C3,0603,C14663
100nF 25V,C4,0603,C14663
27nF,C5,0603,
150pF,C6,0603,
22uF 10V,"C7,C8",1210,
10uF 10V,C9,0805,C15850
100nF,C10,0603,C14663
1uF,C11,0603,C15849
100nF 50V,"C101,C201,C301,C401,C501,C601,C701,C801",0805,C49678
10nF 50V,"C102,C202,C302,C402,C502,C602,C702,C802",0805,
220pF 50V,"C103,C203,C303,C403,C503,C603,C703,C803",0603,C1653
SS36,"D1,D2,D4",SMA,
SMBJ26A,D3,SMB,
BLUE,D5,LED_0603,C72041
BAT54S,"D101,D201,D301,D401,D501,D601,D701,D801",SOT-23,C47547
GREEN,"D102,D202,D302,D402,D502,D602,D702,D802",LED_0603,C72043
Littelfuse 0466002.NR,F9,1206,
GCT USB4105-GF-A,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
Bourns SRP7028A-100M,L1,L_Bourns_SRP7028A_7.3x6.6mm,
200k 1%,R1,0603,C25811
31.6k 1%,R2,0603,
10.2k 1%,R3,0603,
3.9k,R4,0603,C23018
10k,"R5,R6",0603,C25804
5.1k,"R7,R8",0603,C23186
1k,R9,0603,C21190
4.7k,"R101,R102,R105,R201,R202,R205,R301,R302,R305,R401,R402,R405,R501,R502,R505,R601,R602,R605,R701,R702,R705,R801,R802,R805",0603,C23162
47R,"R103,R203,R303,R403,R503,R603,R703,R803",0805,
1.2k 1%,"R104,R204,R304,R404,R504,R604,R704,R804",0603,C22765
47k,"R106,R206,R306,R406,R506,R606,R706,R806",0603,C25819
2.2k,"R107,R207,R307,R407,R507,R607,R707,R807",0603,C4190
PTS645SM43SMTR92,SW1,SW_SPST_PTS645Sx43SMTR92,
PTS645SM43SMTR92,SW2,SW_SPST_PTS645Sx43SMTR92,
BTS70081EPRXUMA1,"U1,U2,U3,U4,U5,U6,U7,U8",Infineon_PG-TSDSO-14-22,
TPS54360BDDAR,U9,TI_SO-PowerPAD-8_ThermalVias,
ESP32-S3-WROOM-1-N8,U10,ESP32-S3-WROOM-1,C2913202
USBLC6-2SC6,U11,SOT-23-6,C7519
