Designator,Mid X,Mid Y,Layer,Rotation
C1,28.500mm,54.500mm,Bottom,180.0
C10,24.000mm,51.500mm,Bottom,-90.0
C101,52.620mm,22.900mm,Bottom,-90.0
C102,58.820mm,16.900mm,Bottom,-90.0
C103,52.420mm,8.300mm,Bottom,-90.0
C11,24.000mm,41.600mm,Bottom,-90.0
C2,33.500mm,54.500mm,Bottom,180.0
C201,67.860mm,22.900mm,Bottom,-90.0
C202,74.060mm,16.900mm,Bottom,-90.0
C203,67.660mm,8.300mm,Bottom,-90.0
C3,34.800mm,48.500mm,Bottom,-90.0
C301,83.100mm,22.900mm,Bottom,-90.0
C302,89.300mm,16.900mm,Bottom,-90.0
C303,82.900mm,8.300mm,Bottom,-90.0
C4,34.800mm,45.000mm,Bottom,-90.0
C401,98.340mm,22.900mm,Bottom,-90.0
C402,104.540mm,16.900mm,Bottom,-90.0
C403,98.140mm,8.300mm,Bottom,-90.0
C5,33.500mm,32.000mm,Bottom,-90.0
C501,113.580mm,22.900mm,Bottom,-90.0
C502,119.780mm,16.900mm,Bottom,-90.0
C503,113.380mm,8.300mm,Bottom,-90.0
C6,33.500mm,28.800mm,Bottom,-90.0
C601,128.820mm,22.900mm,Bottom,-90.0
C602,135.020mm,16.900mm,Bottom,-90.0
C603,128.620mm,8.300mm,Bottom,-90.0
C7,29.500mm,35.000mm,Bottom,180.0
C701,144.060mm,22.900mm,Bottom,-90.0
C702,150.260mm,16.900mm,Bottom,-90.0
C703,143.860mm,8.300mm,Bottom,-90.0
C8,29.500mm,31.500mm,Bottom,180.0
C801,159.300mm,22.900mm,Bottom,-90.0
C802,165.500mm,16.900mm,Bottom,-90.0
C803,159.100mm,8.300mm,Bottom,-90.0
C9,24.000mm,48.000mm,Bottom,-90.0
D1,24.500mm,22.500mm,Bottom,180.0
D101,56.020mm,9.900mm,Bottom,180.0
D102,63.920mm,34.100mm,Bottom,90.0
D2,24.500mm,18.500mm,Bottom,180.0
D201,71.260mm,9.900mm,Bottom,180.0
D202,79.160mm,34.100mm,Bottom,90.0
D3,32.000mm,24.000mm,Bottom,180.0
D301,86.500mm,9.900mm,Bottom,180.0
D302,94.400mm,34.100mm,Bottom,90.0
D4,24.500mm,33.000mm,Bottom,-90.0
D401,101.740mm,9.900mm,Bottom,180.0
D402,109.640mm,34.100mm,Bottom,90.0
D5,5.000mm,32.500mm,Bottom,180.0
D501,116.980mm,9.900mm,Bottom,180.0
D502,124.880mm,34.100mm,Bottom,90.0
D601,132.220mm,9.900mm,Bottom,180.0
D602,140.120mm,34.100mm,Bottom,90.0
D701,147.460mm,9.900mm,Bottom,180.0
D702,155.360mm,34.100mm,Bottom,90.0
D801,162.700mm,9.900mm,Bottom,180.0
D802,170.600mm,34.100mm,Bottom,90.0
F9,24.500mm,26.000mm,Bottom,180.0
J4,5.000mm,6.000mm,Bottom,90.0
L1,29.500mm,41.500mm,Bottom,180.0
R1,34.800mm,41.800mm,Bottom,-90.0
R101,54.820mm,17.900mm,Bottom,-90.0
R102,54.820mm,14.700mm,Bottom,-90.0
R103,52.420mm,17.900mm,Bottom,-90.0
R104,52.420mm,14.700mm,Bottom,-90.0
R105,52.420mm,11.500mm,Bottom,-90.0
R106,58.820mm,13.300mm,Bottom,-90.0
R107,63.920mm,38.500mm,Bottom,-90.0
R2,28.000mm,28.000mm,Bottom,180.0
R201,70.060mm,17.900mm,Bottom,-90.0
R202,70.060mm,14.700mm,Bottom,-90.0
R203,67.660mm,17.900mm,Bottom,-90.0
R204,67.660mm,14.700mm,Bottom,-90.0
R205,67.660mm,11.500mm,Bottom,-90.0
R206,74.060mm,13.300mm,Bottom,-90.0
R207,79.160mm,38.500mm,Bottom,-90.0
R3,31.000mm,28.000mm,Bottom,180.0
R301,85.300mm,17.900mm,Bottom,-90.0
R302,85.300mm,14.700mm,Bottom,-90.0
R303,82.900mm,17.900mm,Bottom,-90.0
R304,82.900mm,14.700mm,Bottom,-90.0
R305,82.900mm,11.500mm,Bottom,-90.0
R306,89.300mm,13.300mm,Bottom,-90.0
R307,94.400mm,38.500mm,Bottom,-90.0
R4,33.500mm,35.200mm,Bottom,-90.0
R401,100.540mm,17.900mm,Bottom,-90.0
R402,100.540mm,14.700mm,Bottom,-90.0
R403,98.140mm,17.900mm,Bottom,-90.0
R404,98.140mm,14.700mm,Bottom,-90.0
R405,98.140mm,11.500mm,Bottom,-90.0
R406,104.540mm,13.300mm,Bottom,-90.0
R407,109.640mm,38.500mm,Bottom,-90.0
R5,24.000mm,44.800mm,Bottom,-90.0
R501,115.780mm,17.900mm,Bottom,-90.0
R502,115.780mm,14.700mm,Bottom,-90.0
R503,113.380mm,17.900mm,Bottom,-90.0
R504,113.380mm,14.700mm,Bottom,-90.0
R505,113.380mm,11.500mm,Bottom,-90.0
R506,119.780mm,13.300mm,Bottom,-90.0
R507,124.880mm,38.500mm,Bottom,-90.0
R6,24.000mm,38.400mm,Bottom,-90.0
R601,131.020mm,17.900mm,Bottom,-90.0
R602,131.020mm,14.700mm,Bottom,-90.0
R603,128.620mm,17.900mm,Bottom,-90.0
R604,128.620mm,14.700mm,Bottom,-90.0
R605,128.620mm,11.500mm,Bottom,-90.0
R606,135.020mm,13.300mm,Bottom,-90.0
R607,140.120mm,38.500mm,Bottom,-90.0
R7,13.000mm,5.000mm,Bottom,-90.0
R701,146.260mm,17.900mm,Bottom,-90.0
R702,146.260mm,14.700mm,Bottom,-90.0
R703,143.860mm,17.900mm,Bottom,-90.0
R704,143.860mm,14.700mm,Bottom,-90.0
R705,143.860mm,11.500mm,Bottom,-90.0
R706,150.260mm,13.300mm,Bottom,-90.0
R707,155.360mm,38.500mm,Bottom,-90.0
R8,15.500mm,5.000mm,Bottom,-90.0
R801,161.500mm,17.900mm,Bottom,-90.0
R802,161.500mm,14.700mm,Bottom,-90.0
R803,159.100mm,17.900mm,Bottom,-90.0
R804,159.100mm,14.700mm,Bottom,-90.0
R805,159.100mm,11.500mm,Bottom,-90.0
R806,165.500mm,13.300mm,Bottom,-90.0
R807,170.600mm,38.500mm,Bottom,-90.0
R9,8.500mm,32.500mm,Bottom,180.0
SW1,12.500mm,27.500mm,Top,0.0
SW2,12.500mm,19.000mm,Top,0.0
U1,58.620mm,22.500mm,Bottom,0.0
U10,12.000mm,48.900mm,Bottom,180.0
U11,14.000mm,10.000mm,Bottom,180.0
U2,73.860mm,22.500mm,Bottom,0.0
U3,89.100mm,22.500mm,Bottom,0.0
U4,104.340mm,22.500mm,Bottom,0.0
U5,119.580mm,22.500mm,Bottom,0.0
U6,134.820mm,22.500mm,Bottom,0.0
U7,150.060mm,22.500mm,Bottom,0.0
U8,165.300mm,22.500mm,Bottom,0.0
U9,29.800mm,48.500mm,Bottom,180.0
